month,state,industry,claim_type,claims_count_actual
2015-03,GA,Manufacturing,Indemnity,11
2015-03,GA,Manufacturing,LostTime,27
2015-03,HI,Healthcare,LostTime,1
2015-03,HI,Manufacturing,LostTime,2
2015-03,ID,Healthcare,Indemnity,3
2015-03,ID,Healthcare,LostTime,1
2015-03,ID,Manufacturing,Indemnity,1
2015-03,ID,Manufacturing,LostTime,3
2015-03,IL,Construction,Indemnity,1
2015-03,IL,Construction,LostTime,8
2015-03,IL,Healthcare,Indemnity,2
2015-03,IL,Healthcare,LostTime,6
2015-03,IL,Manufacturing,Indemnity,13
2015-03,IL,Manufacturing,LostTime,19
2015-03,KS,Construction,Indemnity,2
2015-03,KS,Construction,LostTime,2
2015-03,KS,Manufacturing,Indemnity,4
2015-03,KS,Manufacturing,LostTime,9
2015-03,KS,Manufacturing,MedicalOnly,1
2015-03,KY,Manufacturing,LostTime,2
2015-03,LA,Construction,Indemnity,2
2015-03,LA,Construction,LostTime,5
2015-03,LA,Healthcare,LostTime,1
2015-03,LA,Manufacturing,Indemnity,3
2015-03,LA,Manufacturing,LostTime,10
2015-03,MA,Construction,Indemnity,2
2015-03,MA,Construction,LostTime,3
2015-03,MA,Healthcare,LostTime,1
2015-03,MA,Manufacturing,Indemnity,4
2015-03,MA,Manufacturing,LostTime,12
2015-03,MD,Manufacturing,LostTime,2
2015-03,ME,Manufacturing,Indemnity,1
2015-03,ME,Manufacturing,LostTime,3
2015-03,MI,Manufacturing,LostTime,2
2015-03,MO,Construction,LostTime,2
2015-03,MO,Manufacturing,Indemnity,3
2015-03,MO,Manufacturing,LostTime,9
2015-03,MS,Construction,Indemnity,1
2015-03,MS,Construction,LostTime,1
2015-03,MS,Healthcare,Indemnity,1
2015-03,MS,Healthcare,LostTime,1
2015-03,MS,Manufacturing,Indemnity,5
2015-03,MS,Manufacturing,LostTime,7
2015-03,MT,Healthcare,LostTime,1
2015-03,MT,Manufacturing,Indemnity,1
2015-03,MT,Manufacturing,LostTime,5
2015-03,NC,Manufacturing,LostTime,1
2015-03,ND,Construction,Indemnity,1
2015-03,ND,Construction,LostTime,2
2015-03,ND,Healthcare,LostTime,1
2015-03,ND,Manufacturing,Indemnity,5
2015-03,ND,Manufacturing,LostTime,7
2015-03,NE,Manufacturing,Indemnity,3
2015-03,NE,Manufacturing,LostTime,6
2015-03,NH,Healthcare,LostTime,2
2015-03,NH,Manufacturing,Indemnity,1
2015-03,NH,Manufacturing,LostTime,2
2015-03,NJ,Construction,LostTime,1
2015-03,NJ,Healthcare,LostTime,2
2015-03,NJ,Manufacturing,Indemnity,3
2015-03,NJ,Manufacturing,LostTime,17
2015-03,NM,Manufacturing,LostTime,1
2015-03,NY,Construction,LostTime,8
2015-03,NY,Healthcare,LostTime,11
2015-03,NY,Manufacturing,Indemnity,15
2015-03,NY,Manufacturing,LostTime,29
2015-03,OH,Construction,Indemnity,1
2015-03,OH,Construction,LostTime,9
2015-03,OH,Healthcare,Indemnity,3
2015-03,OH,Healthcare,LostTime,4
2015-03,OH,Manufacturing,Indemnity,20
2015-03,OH,Manufacturing,LostTime,30
2015-03,OK,Construction,LostTime,1
2015-03,OK,Healthcare,LostTime,1
2015-03,OK,Manufacturing,Indemnity,2
2015-03,OK,Manufacturing,LostTime,9
2015-03,PA,Construction,Indemnity,1
2015-03,PA,Construction,LostTime,8
2015-03,PA,Healthcare,Indemnity,3
2015-03,PA,Healthcare,LostTime,9
2015-03,PA,Manufacturing,Indemnity,13
2015-03,PA,Manufacturing,LostTime,36
2015-03,RI,Construction,Indemnity,1
2015-03,RI,Manufacturing,Indemnity,1
2015-03,RI,Manufacturing,LostTime,1
2015-03,SC,Construction,LostTime,1
2015-03,SC,Manufacturing,Indemnity,1
2015-03,SD,Construction,LostTime,2
2015-03,SD,Healthcare,LostTime,1
2015-03,SD,Manufacturing,Indemnity,3
2015-03,SD,Manufacturing,LostTime,1
2015-03,TX,Construction,Indemnity,8
2015-03,TX,Construction,LostTime,24
2015-03,TX,Healthcare,Indemnity,1
2015-03,TX,Healthcare,LostTime,13
2015-03,TX,Manufacturing,Indemnity,26
2015-03,TX,Manufacturing,LostTime,60
2015-03,VA,Manufacturing,LostTime,5
2015-03,WA,Manufacturing,LostTime,1
2015-03,WI,Construction,Indemnity,2
2015-03,WI,Construction,LostTime,5
2015-03,WI,Healthcare,LostTime,3
2015-03,WI,Manufacturing,Indemnity,17
2015-03,WI,Manufacturing,LostTime,21
2015-03,WV,Construction,Indemnity,1
2015-03,WV,Construction,LostTime,4
2015-03,WV,Healthcare,LostTime,1
2015-03,WV,Manufacturing,Indemnity,1
2015-03,WV,Manufacturing,LostTime,1
2015-04,AL,Construction,LostTime,1
2015-04,AL,Healthcare,LostTime,2
2015-04,AL,Manufacturing,Indemnity,12
2015-04,AL,Manufacturing,LostTime,12
2015-04,AR,Construction,Indemnity,1
2015-04,AR,Construction,LostTime,1
2015-04,AR,Healthcare,LostTime,1
2015-04,AR,Manufacturing,Indemnity,10
2015-04,AR,Manufacturing,LostTime,11
2015-04,AZ,Manufacturing,LostTime,1
2015-04,CA,Construction,LostTime,1
2015-04,CA,Manufacturing,LostTime,2
2015-04,CO,Construction,LostTime,4
2015-04,CO,Manufacturing,Indemnity,9
2015-04,CO,Manufacturing,LostTime,15
2015-04,CT,Construction,LostTime,1
2015-04,CT,Healthcare,LostTime,1
2015-04,CT,Manufacturing,Indemnity,2
2015-04,CT,Manufacturing,LostTime,2
2015-04,DC,Construction,Indemnity,1
2015-04,DC,Construction,LostTime,1
2015-04,DC,Healthcare,Indemnity,1
2015-04,DC,Manufacturing,LostTime,1
2015-04,DE,Manufacturing,Indemnity,2
2015-04,FL,Construction,Indemnity,4
2015-04,FL,Construction,LostTime,18
2015-04,FL,Healthcare,Indemnity,1
2015-04,FL,Healthcare,LostTime,10
2015-04,FL,Manufacturing,Indemnity,12
2015-04,FL,Manufacturing,LostTime,33
2015-04,GA,Construction,LostTime,6
2015-04,GA,Healthcare,LostTime,1
2015-04,GA,Manufacturing,Indemnity,12
2015-04,GA,Manufacturing,LostTime,31
2015-04,HI,Construction,Indemnity,1
2015-04,HI,Manufacturing,LostTime,2
2015-04,ID,Construction,Indemnity,1
2015-04,ID,Healthcare,LostTime,1
2015-04,ID,Manufacturing,Indemnity,1
2015-04,ID,Manufacturing,LostTime,4
2015-04,IL,Construction,Indemnity,1
2015-04,IL,Construction,LostTime,3
2015-04,IL,Healthcare,Indemnity,1
2015-04,IL,Healthcare,LostTime,4
2015-04,IL,Manufacturing,Indemnity,13
2015-04,IL,Manufacturing,LostTime,20
2015-04,IN,Manufacturing,Indemnity,1
2015-04,KS,Construction,LostTime,4
2015-04,KS,Healthcare,LostTime,1
2015-04,KS,Manufacturing,Indemnity,5
2015-04,KS,Manufacturing,LostTime,13
2015-04,LA,Construction,Indemnity,1
2015-04,LA,Construction,LostTime,3
2015-04,LA,Healthcare,Indemnity,1
2015-04,LA,Manufacturing,Indemnity,5
2015-04,LA,Manufacturing,LostTime,11
2015-04,MA,Construction,LostTime,2
2015-04,MA,Healthcare,Indemnity,1
2015-04,MA,Healthcare,LostTime,1
2015-04,MA,Manufacturing,Indemnity,4
2015-04,MA,Manufacturing,LostTime,4
2015-04,MD,Manufacturing,LostTime,1
2015-04,ME,Healthcare,Indemnity,1
2015-04,ME,Healthcare,LostTime,2
2015-04,MO,Healthcare,LostTime,1
2015-04,MO,Manufacturing,Indemnity,6
2015-04,MO,Manufacturing,LostTime,12
2015-04,MS,Construction,Indemnity,2
2015-04,MS,Construction,LostTime,5
2015-04,MS,Healthcare,LostTime,1
2015-04,MS,Manufacturing,Indemnity,4
2015-04,MS,Manufacturing,LostTime,3
2015-04,MT,Construction,LostTime,2
2015-04,NC,Construction,LostTime,1
2015-04,NC,Healthcare,LostTime,1
2015-04,ND,Construction,LostTime,3
2015-04,ND,Healthcare,LostTime,1
2015-04,ND,Manufacturing,Indemnity,1
2015-04,ND,Manufacturing,LostTime,5
2015-04,NE,Construction,Indemnity,1
2015-04,NE,Construction,LostTime,1
2015-04,NE,Healthcare,LostTime,2
2015-04,NE,Manufacturing,Indemnity,9
2015-04,NE,Manufacturing,LostTime,2
2015-04,NH,Construction,Indemnity,1
2015-04,NH,Construction,LostTime,3
2015-04,NH,Manufacturing,Indemnity,3
2015-04,NH,Manufacturing,LostTime,2
2015-04,NJ,Construction,LostTime,5
2015-04,NJ,Healthcare,Indemnity,1
2015-04,NJ,Manufacturing,Indemnity,1
2015-04,NJ,Manufacturing,LostTime,12
2015-04,NM,Manufacturing,LostTime,1
2015-04,NY,Construction,Indemnity,1
2015-04,NY,Construction,LostTime,4
2015-04,NY,Construction,MedicalOnly,1
2015-04,NY,Healthcare,LostTime,3
2015-04,NY,Manufacturing,Indemnity,6
2015-04,NY,Manufacturing,LostTime,21
2015-04,OH,Construction,Indemnity,2
2015-04,OH,Construction,LostTime,4
2015-04,OH,Healthcare,Indemnity,2
2015-04,OH,Healthcare,LostTime,5
2015-04,OH,Manufacturing,Indemnity,7
2015-04,OH,Manufacturing,LostTime,30
2015-04,OK,Construction,LostTime,2
2015-04,OK,Manufacturing,Indemnity,5
2015-04,OK,Manufacturing,LostTime,10
2015-04,OK,Manufacturing,MedicalOnly,1
2015-04,OR,Manufacturing,LostTime,2
2015-04,PA,Construction,Indemnity,1
2015-04,PA,Construction,LostTime,10
2015-04,PA,Healthcare,LostTime,6
2015-04,PA,Manufacturing,Indemnity,14
2015-04,PA,Manufacturing,LostTime,33
2015-04,RI,Construction,LostTime,1
2015-04,RI,Manufacturing,LostTime,2
2015-04,SC,Manufacturing,LostTime,2
2015-04,SD,Construction,LostTime,2
2015-04,SD,Healthcare,Indemnity,1
2015-04,SD,Manufacturing,Indemnity,3
2015-04,SD,Manufacturing,LostTime,2
2015-04,TN,Manufacturing,LostTime,2
2015-04,TX,Construction,Indemnity,5
2015-04,TX,Construction,LostTime,30
2015-04,TX,Healthcare,Indemnity,3
2015-04,TX,Healthcare,LostTime,14
2015-04,TX,Manufacturing,Indemnity,27
2015-04,TX,Manufacturing,LostTime,68
2015-04,TX,Manufacturing,MedicalOnly,1
2015-04,VA,Manufacturing,Indemnity,1
2015-04,VA,Manufacturing,LostTime,1
2015-04,WA,Manufacturing,LostTime,1
2015-04,WI,Construction,Indemnity,2
2015-04,WI,Construction,LostTime,1
2015-04,WI,Healthcare,Indemnity,1
2015-04,WI,Healthcare,LostTime,3
2015-04,WI,Manufacturing,Indemnity,13
2015-04,WI,Manufacturing,LostTime,8
2015-04,WV,Healthcare,LostTime,1
2015-04,WV,Manufacturing,Indemnity,2
2015-04,WV,Manufacturing,LostTime,5
2015-05,AL,Construction,LostTime,6
2015-05,AL,Healthcare,Indemnity,1
2015-05,AL,Healthcare,LostTime,1
2015-05,AL,Manufacturing,Indemnity,9
2015-05,AL,Manufacturing,LostTime,14
2015-05,AR,Construction,LostTime,1
2015-05,AR,Healthcare,Indemnity,2
2015-05,AR,Healthcare,LostTime,1
2015-05,AR,Manufacturing,Indemnity,6
2015-05,AR,Manufacturing,LostTime,5
2015-05,CA,Construction,Indemnity,1
2015-05,CA,Manufacturing,Indemnity,2
2015-05,CO,Construction,LostTime,7
2015-05,CO,Manufacturing,Indemnity,5
2015-05,CO,Manufacturing,LostTime,10
2015-05,CT,Healthcare,LostTime,1
2015-05,CT,Manufacturing,LostTime,3
2015-05,DC,Construction,LostTime,1
2015-05,DC,Healthcare,LostTime,1
2015-05,DE,Construction,LostTime,3
2015-05,DE,Healthcare,Indemnity,1
2015-05,DE,Manufacturing,Indemnity,1
2015-05,DE,Manufacturing,LostTime,2
2015-05,FL,Construction,Indemnity,4
2015-05,FL,Construction,LostTime,21
2015-05,FL,Healthcare,Indemnity,1
2015-05,FL,Healthcare,LostTime,9
2015-05,FL,Manufacturing,Indemnity,9
2015-05,FL,Manufacturing,LostTime,35
2015-05,GA,Construction,Indemnity,1
2015-05,GA,Construction,LostTime,3
2015-05,GA,Healthcare,Indemnity,2
2015-05,GA,Healthcare,LostTime,3
2015-05,GA,Manufacturing,Indemnity,8
2015-05,GA,Manufacturing,LostTime,19
2015-05,HI,Construction,LostTime,1
2015-05,IA,Healthcare,LostTime,1
2015-05,ID,Construction,Indemnity,1
2015-05,ID,Manufacturing,Indemnity,2
2015-05,ID,Manufacturing,LostTime,5
2015-05,IL,Construction,Indemnity,1
2015-05,IL,Construction,LostTime,7
2015-05,IL,Healthcare,LostTime,2
2015-05,IL,Manufacturing,Indemnity,14
2015-05,IL,Manufacturing,LostTime,29
2015-05,IN,Manufacturing,Indemnity,1
2015-05,KS,Healthcare,LostTime,1
2015-05,KS,Manufacturing,Indemnity,5
2015-05,KS,Manufacturing,LostTime,2
2015-05,KY,Manufacturing,Indemnity,1
2015-05,LA,Construction,Indemnity,1
2015-05,LA,Construction,LostTime,5
2015-05,LA,Healthcare,LostTime,5
2015-05,LA,Manufacturing,Indemnity,2
2015-05,LA,Manufacturing,LostTime,14
2015-05,MA,Construction,LostTime,2
2015-05,MA,Healthcare,LostTime,4
2015-05,MA,Manufacturing,Indemnity,3
2015-05,MA,Manufacturing,LostTime,10
2015-05,MD,Manufacturing,LostTime,1
2015-05,ME,Manufacturing,Indemnity,1
2015-05,ME,Manufacturing,LostTime,1
2015-05,MI,Healthcare,LostTime,1
2015-05,MI,Manufacturing,Indemnity,1
2015-05,MN,Manufacturing,LostTime,1
2015-05,MO,Construction,Indemnity,1
2015-05,MO,Healthcare,LostTime,2
2015-05,MO,Manufacturing,Indemnity,10
2015-05,MO,Manufacturing,LostTime,15
2015-05,MS,Construction,LostTime,4
2015-05,MS,Manufacturing,Indemnity,5
2015-05,MS,Manufacturing,LostTime,10
2015-05,MT,Healthcare,LostTime,2
2015-05,MT,Manufacturing,LostTime,1
2015-05,NC,Construction,LostTime,1
2015-05,NC,Manufacturing,LostTime,2
2015-05,ND,Construction,Indemnity,1
2015-05,ND,Construction,LostTime,1
2015-05,ND,Manufacturing,Indemnity,4
2015-05,ND,Manufacturing,LostTime,7
2015-05,NE,Construction,LostTime,2
2015-05,NE,Healthcare,LostTime,2
2015-05,NE,Manufacturing,Indemnity,2
2015-05,NE,Manufacturing,LostTime,2
2015-05,NH,Construction,LostTime,1
2015-05,NH,Healthcare,Indemnity,1
2015-05,NH,Manufacturing,LostTime,1
2015-05,NJ,Construction,LostTime,2
2015-05,NJ,Healthcare,Indemnity,1
2015-05,NJ,Healthcare,LostTime,2
2015-05,NJ,Manufacturing,Indemnity,2
2015-05,NJ,Manufacturing,LostTime,13
2015-05,NV,Manufacturing,LostTime,1
2015-05,NY,Construction,LostTime,7
2015-05,NY,Healthcare,Indemnity,1
2015-05,NY,Healthcare,LostTime,8
2015-05,NY,Manufacturing,Indemnity,8
2015-05,NY,Manufacturing,LostTime,19
2015-05,OH,Construction,Indemnity,1
2015-05,OH,Construction,LostTime,8
2015-05,OH,Healthcare,LostTime,7
2015-05,OH,Manufacturing,Indemnity,18
2015-05,OH,Manufacturing,LostTime,25
2015-05,OK,Construction,Indemnity,1
2015-05,OK,Construction,LostTime,2
2015-05,OK,Manufacturing,Indemnity,8
2015-05,OK,Manufacturing,LostTime,4
2015-05,OR,Manufacturing,LostTime,1
2015-05,PA,Construction,LostTime,6
2015-05,PA,Healthcare,LostTime,7
2015-05,PA,Manufacturing,Indemnity,18
2015-05,PA,Manufacturing,LostTime,31
2015-05,RI,Manufacturing,LostTime,3
2015-05,SC,Manufacturing,LostTime,2
2015-05,SD,Construction,LostTime,1
